INF;I_GE;YOU_GE;HE_GE;WE_GE;YOU_PL_GE;THEY_GE;NOUN_RU;INF_RU;I_RU;YOU_RU;HE_RU;WE_RU;YOU_PL_RU;THEY_RU;TOPIC;EOL
საუბარი;მე ვსაუბრობ;შენ საუბრობ;ის საუბრობს;ჩვენ ვსაუბრობთ;თქვენ საუბრობთ;ისინი საუბრობენ;БЕСЕДА;БЕСЕДОВАТЬ;Я БЕСЕДУЮ;ТЫ БЕСЕДУЕШЬ;ОН БЕСЕДУЕТ;МЫ БЕСЕДУЕМ;ВЫ БЕСЕДУЕТЕ;ОНИ БЕСЕДУЮТ;RELATIONSHIPS;
შეწუხება;მე მაწუხებს;შენ გაწუხებს;მას აწუხებს;ჩვენ გვაწუხებს;თქვენ გაწუხებთ;მათ აწუხებთ;БЕСПОКОЙСТВО;БЕСПОКОИТЬ;МЕНЯ БЕСПОКОИТ;ТЕБЯ БЕСПОКОИТ;ЕГО БЕСПОКОИТ;НАС БЕСПОКОИТ;ВАС БЕСПОКОИТ;ИХ БЕСПОКОИТ;BODYFEELINGS;
შიში;მე მეშინია;შენ გეშინია;მას ეშინია;ჩვენ გვეშინია;თქვენ გეშინიათ;მათ ეშინიათ;СТРАХ;БОЯТЬСЯ;Я БОЮСЬ;ТЫ БОИШЬСЯ;ОН БОИТСЯ;МЫ БОИМСЯ;ВЫ БОИТЕСЬ;ОНИ БОЯТСЯ;BODYFEELINGS;
პარსვა;მე ვიპარსავ;შენ იპარსავ;ის იპარსავს;ჩვენ ვიპარსავთ;თქვენ იპარსავთ;ისინი იპარსავენ;БРИТЬЁ;БРИТЬСЯ;Я БРЕЮСЬ;ТЫ БРЕЕШЬСЯ;ОН БРЕЕТСЯ;МЫ БРЕЕМСЯ;ВЫ БРЕЕТЕСЬ;ОНИ БРЕЮТСЯ;CLEAN;
მიმართლება;მე მიმართლებს;შენ გიმართლებს;მას უმართლებს;ჩვენ გვიმართლებს;თქვენ გიმართლებთ;მათ უმართლებთ;ВЕЗЕНИЕ;БЫТЬ ВЕЗУЧИМ;МНЕ ВЕЗЕТ;ТЕБЕ ВЕЗЕТ;ЕМУ ВЕЗЕТ;НАМ ВЕЗЕТ;ВАМ ВЕЗЕТ;ИМ ВЕЗЕТ;LIFE;
ხედვა;მე ვხედავ;შენ ხედავ;ის ხედავს;ჩვენ ვხედავთ;თქვენ ხედავთ;ისინი ხედავენ;ВИДЕНИЕ;ВИДЕТЬ;Я ВИЖУ;ТЫ ВИДИШЬ;ОН ВИДИТ;МЫ ВИДИМ;ВЫ ВИДИТЕ;ОНИ ВИДЯТ;BODYFEELINGS;
ჩართვა;მე ვრთავ;შენ რთავ;ის რთავს;ჩვენ ვრთავთ;თქვენ რთავთ;ისინი რთავენ;ВКЛЮЧЕНИЕ;ВКЛЮЧАТЬ;Я ВКЛЮЧАЮ;ТЫ ВКЛЮЧАЕШЬ;ОН ВКЛЮЧАЕТ;МЫ ВКЛЮЧАЕМ;ВЫ ВКЛЮЧАЕТЕ;ОНИ ВКЛЮЧАЮТ;MISC;
გახსენება;მე ვიხსენებ;შენ იხსენებ;ის იხსენებს;ჩვენ ვიხსენებთ;თქვენ იხსენებთ;ისინი იხსენებენ;ВСПОМИНАНИЕ;ВСПОМИНАТЬ;Я ВСПОМИНАЮ;ТЫ ВСПОМИНАЕШЬ;ОН ВСПОМИНАЕТ;МЫ ВСПОМИНАЕМ;ВЫ ВСПОМИНАЕТЕ;ОНИ ВСПОМИНАЮТ;BODYFEELINGS;
ადგომა;მე ვდგები;შენ დგები;ის დგების;ჩვენ ვდგებით;თქვენ დგებით;ისინი დგებიან;ВСТАВАНИЕ;ВСТАВАТЬ;Я ВСТАЮ;ТЫ ВСТАЕШЬ;ОН ВСТАЕТ;МЫ ВСТАЕМ;ВЫ ВСТАЕТЕ;ОНИ ВСТАЮТ;TIMEANDDATE;
შეხვედრა;მე ვხვდები;შენ ხვდები;ის ხვდება;ჩვენ ვხვდებით;თქვენ ხვდებით;ისინი ხვდებიან;ВСТРЕЧА;ВСТРЕЧАТЬСЯ;Я ВСТРЕЧАЮСЬ;ТЫ ВСТРЕЧАЕШЬСЯ;ОН ВСТРЕЧАЕТСЯ;МЫ ВСТРЕЧАЕМСЯ;ВЫ ВСТРЕЧАЕТЕСЬ;ОНИ ВСТРЕЧАЮТСЯ;RELATIONSHIPS;
გამორთვა;მე ვთიშავ;შენ თიშავ;ის თიშავს;ჩვენ ვთიშავთ;თქვენ თიშავთ;ისინი თიშავენ;ВЫКЛЮЧЕНИЕ;ВЫКЛЮЧАТЬ;Я ВЫКЛЮЧАЮ;ТЫ ВЫКЛЮЧАЕШЬ;ОН ВЫКЛЮЧАЕТ;МЫ ВЫКЛЮЧАЕМ;ВЫ ВЫКЛЮЧАЕТЕ;ОНИ ВЫКЛЮЧАЮТ;MISC;
თქმა;მე ვამბობ;შენ ამბობ;ის ამბობს;ჩვენ ვამბობთ;თქვენ ამბობთ;ისინი ამბობენ;ГОВОРЕНИЕ;ГОВОРИТЬ;Я ГОВОРЮ;ТЫ ГОВОРИШЬ;ОН ГОВОРИТ;МЫ ГОВОРИМ;ВЫ ГОВОРИТЕ;ОНИ ГОВОРЯТ;RELATIONSHIPS;
მომზადება;მე ვამზადებ;შენ ამზადებ;ის ამზადებს;ჩვენ ვამზადებთ;თქვენ ამზადებთ;ისინი ამზადებენ;ГОТОВКА;ГОТОВИТЬ;Я ГОТОВЛЮ;ТЫ ГОТОВИШЬ;ОН ГОТОВИТ;МЫ ГОТОВИМ;ВЫ ГОТОВИТЕ;ОНИ ГОТОВЯТ;MEAL;
მომზადება;მე ვემზადები;შენ ემზადები;ის ემზადება;ჩვენ ვემზადებით;თქვენ ემზადებით;ისინი ემზადებიან;ПРИГОТОВЛЕНИЕ;ГОТОВИТЬСЯ;Я ГОТОВЛЮСЬ;ТЫ ГОТОВИШЬСЯ;ОН ГОТОВИТСЯ;МЫ ГОТОВИМСЯ;ВЫ ГОТОВИТЕСЬ;ОНИ ГОТОВЯТСЯ;LIFE;
სეირნობა;მე ვსეირნობ;შენ სეირნობ;ის სეირნობს;ჩვენ ვსეირნობთ;თქვენ სეირნობთ;ისინი სეირნობენ;ГУЛЯНИЕ;ГУЛЯТЬ;Я ГУЛЯЮ;ТЫ ГУЛЯЕШЬ;ОН ГУЛЯЕТ;МЫ ГУЛЯЕМ;ВЫ ГУЛЯЕТЕ;ОНИ ГУЛЯЮТ;PLACEDIRECTION;
გაკეთება;მე ვაკეთებ;შენ აკეთებ;ის აკეთებს;ჩვენ ვაკეთებთ;თქვენ აკეთებთ;ისინი აკეთებენ;ДЕЛАНИЕ;ДЕЛАТЬ;Я ДЕЛАЮ;ТЫ ДЕЛАЕШЬ;ОН ДЕЛАЕТ;МЫ ДЕЛАЕМ;ВЫ ДЕЛАЕТЕ;ОНИ ДЕЛАЮТ;MISC;
ფიქრი;მე ვფიქრობ;შენ ფიქრობ;ის ფიქრობს;ჩვენ ვფიქრობთ;თქვენ ფიქრობთ;ისინი ფიქრობენ;МЫСЛЬ;ДУМАТЬ;Я ДУМАЮ;ТЫ ДУМАЕШЬ;ОН ДУМАЕТ;МЫ ДУМАЕМ;ВЫ ДУМАЕТЕ;ОНИ ДУМАЮТ;BODYFEELINGS;
ჭამა;მე ვჭამ;შენ ჭამ;ის ჭამს;ჩვენ ვჭამთ;თქვენ ჭამთ;ისინი ჭამენ;ЕДА;ЕСТЬ;Я ЕМ;ТЫ ЕШЬ;ОН ЕСТ;МЫ ЕДИМ;ВЫ ЕДИТЕ;ОНИ ЕДЯТ;MEAL;
ლოდინი;მე ველოდები;შენ ელოდები;ის ელოდება;ჩვენ ველოდებით;თქვენ ელოდებით;ისინი ელოდებიან;ОЖИДАНИЕ;ЖДАТЬ;Я ЖДУ;ТЫ ЖДЕШЬ;ОН ЖДЕТ;МЫ ЖДЕМ;ВЫ ЖДЕТЕ;ОНИ ЖДУТ;RELATIONSHIPS;
ცხოვრება;მე ვცხოვრობ;შენ ცხოვრობ;ის ცხოვრობს;ჩვენ ვცხოვრობთ;თქვენ ცხოვრობთ;ისინი ცხოვრობენ;ЖИЗНЬ;ЖИТЬ;Я ЖИВУ;ТЫ ЖИВЕШЬ;ОН ЖИВЕТ;МЫ ЖИВЕМ;ВЫ ЖИВЕТЕ;ОНИ ЖИВУТ;LIFE;
საუზმობა;მე ვსაუზმობ;შენ საუზმობ;ის საუზმობს;ჩვენ ვსაუზმობთ;თქვენ საუზმობთ;ისინი საუზმობენ;ЗАВТРАК;ЗАВТРАКАТЬ;Я ЗАВТРАКАЮ;ТЫ ЗАВТРАКАЕШЬ;ОН ЗАВТРАКАЕТ;МЫ ЗАВТРАКАЕМ;ВЫ ЗАВТРАКАЕТЕ;ОНИ ЗАВТРАКАЮТ;MEAL;
დამთავრება;მე ვამთავრებ;შენ ამთავრებ;ის ამთავრებს;ჩვენ ვამთავრებთ;თქვენ ამთავრებთ;ისინი ამთავრებენ;ОКОНЧАНИЕ;ЗАКАНЧИВАТЬ;Я ЗАКАНЧИВАЮ;ТЫ ЗАКАНЧИВАЕШЬ;ОН ЗАКАНЧИВАЕТ;МЫ ЗАКАНЧИВАЕМ;ВЫ ЗАКАНЧИВАЕТЕ;ОНИ ЗАКАНЧИВАЮТ;MISC;
დახურვა;მე ვხურავ;შენ ხურავ;ის ხურავს;ჩვენ ვხურავთ;თქვენ ხურავთ;ისინი ხურავენ;ЗАКРЫВАНИЕ;ЗАКРЫВАТЬ;Я ЗАКРЫВАЮ;ТЫ ЗАКРЫВАЕШЬ;ОН ЗАКРЫВАЕТ;МЫ ЗАКРЫВАЕМ;ВЫ ЗАКРЫВАЕТЕ;ОНИ ЗАКРЫВАЮТ;MISC;
მეცადინეობა;მე ვმეცადინეობ;შენ მეცადინეობ;ის მეცადინეობს;ჩვენ ვმეცადინეობთ;თქვენ მეცადინეობთ;ისინი მეცადინეობენ;ЗАНЯТИЕ;ЗАНИМАТЬСЯ;Я ЗАНИМАЮСЬ;ТЫ ЗАНИМАЕШЬСЯ;ОН ЗАНИМАЕТСЯ;МЫ ЗАНИМАЕМСЯ;ВЫ ЗАНИМАЕТЕСЬ;ОНИ ЗАНИМАЮТСЯ;LIFE;
დაკეტვა;მე ვაკეტებ;შენ აკეტებ;ის აკეტებს;ჩვენ ვაკეტებთ;თქვენ აკეტებთ;ისინი აკეტებენ;ЗАПИРАНИЕ;ЗАПИРАТЬ;Я ЗАПИРАЮ;ТЫ ЗАПИРАЕШЬ;ОН ЗАПИРАЕТ;МЫ ЗАПИРАЕМ;ВЫ ЗАПИРАЕТЕ;ОНИ ЗАПИРАЮТ;MISC;
დაძინება;მე ვიძინებ;შენ იძინებ;ის იძინებს;ჩვენ ვიძინებთ;თქვენ იძინებთ;ისინი იძინებენ;ЗАСЫПАНИЕ;ЗАСЫПАТЬ;Я ЗАСЫПАЮ;ТЫ ЗАСЫПАЕШЬ;ОН ЗАСЫПАЕТ;МЫ ЗАСЫПАЕМ;ВЫ ЗАСЫПАЕТЕ;ОНИ ЗАСЫПАЮТ;BODYFEELINGS;
ცოდნა;მე ვიცი;შენ იცი;მას იცის;ჩვენ ვიცით;თქვენ იცით;მათ იციენ;ЗНАНИЕ;ЗНАТЬ;Я ЗНАЮ;ТЫ ЗНАЕШЬ;ОН ЗНАЕТ;МЫ ЗНАЕМ;ВЫ ЗНАЕТЕ;ОНИ ЗНАЮТ;MISC;
თამაში;მე ვთამაშობ;შენ თამაშობ;ის თამაშობს;ჩვენ ვთამაშობთ;თქვენ თამაშობთ;ისინი თამაშობენ;ИГРА;ИГРАТЬ;Я ИГРАЮ;ТЫ ИГРАЕШЬ;ОН ИГРАЕТ;МЫ ИГРАЕМ;ВЫ ИГРАЕТЕ;ОНИ ИГРАЮТ;RELATIONSHIPS;
დაკვრა;მე ვუკრავ;შენ უკრავ;ის უკრავს;ჩვენ ვუკრავთ;თქვენ უკრავთ;ისინი უკრავენ;ИГРА;ИГРАТЬ;Я ИГРАЮ;ТЫ ИГРАЕШЬ;ОН ИГРАЕТ;МЫ ИГРАЕМ;ВЫ ИГРАЕТЕ;ОНИ ИГРАЮТ;LIFE;
ქონა;მე მაქვს;შენ გაქვს;მას აქვს;ჩვენ გვაქვს;თქვენ გაქვთ;მათ აქვთ;ИМЕНИЕ (НЕОД.);ИМЕТЬ (НЕОД.);Я ИМЕЮ;ТЫ ИМЕЕШЬ;ОН ИМЕЕТ;МЫ ИМЕЕМ;ВЫ ИМЕЕТЕ;ОНИ ИМЕЮТ;MISC;
ყოლა;მე მყავს;შენ გყავს;მას ჰყავს;ჩვენ გვყავს;თქვენ გყავთ;მათ ჰყავთ;ИМЕНИЕ (ОД.);ИМЕТЬ (ОД.);Я ИМЕЮ;ТЫ ИМЕЕШЬ;ОН ИМЕЕТ;МЫ ИМЕЕМ;ВЫ ИМЕЕТЕ;ОНИ ИМЕЮТ;RELATIONSHIPS;
ძიება;მე ვეძებ;შენ ეძებ;ის ეძებს;ჩვენ ვეძებთ;თქვენ ეძებთ;ისინი ეძებენ;ИCКАНИЕ;ИСКАТЬ;Я ИЩУ;ТЫ ИЩЕШЬ;ОН ИЩЕТ;МЫ ИЩЕМ;ВЫ ИЩЕТЕ;ОНИ ИЩУТ;MISC;
ჩვენება;მე მეჩვენება;შენ გეჩვენება;მას ეჩვენება;ჩვენ გვეჩვენება;თქვენ გეჩვენებათ;მათ ეჩვენებათ;ПОКАЗ;КАЗАТЬСЯ;МНЕ КАЖЕТСЯ;ТЕБЕ КАЖЕТСЯ;ЕМУ КАЖЕТСЯ;НАМ КАЖЕТСЯ;ВАМ КАЖЕТСЯ;ИМ КАЖЕТСЯ;BODYFEELINGS;
სრიალი;მე ვსრიალებ;შენ სრიალებ;ის სრიალებს;ჩვენ ვსრიალებთ;თქვენ სრიალებთ;ისინი სრიალებენ;КАТАНИЕ;КАТАТЬСЯ;Я КАТАЮСЬ;ТЫ КАТАЕШЬСЯ;ОН КАТАЕТСЯ;МЫ КАТАЕМСЯ;ВЫ КАТАЕТЕСЬ;ОНИ КАТАЮТСЯ;PLACEDIRECTION;
დაწოლა;მე ვწვები;შენ წვები;ის წვება;ჩვენ ვწვებით;თქვენ  წვებით;ისინი  წვებიან;ЛЕЖАНИЕ;ЛОЖИТЬСЯ;Я ЛОЖУСЬ;ТЫ ЛОЖИШЬСЯ;ОН ЛОЖИТСЯ;МЫ ЛОЖИМСЯ;ВЫ ЛОЖИТЕСЬ;ОНИ ЛОЖАТСЯ;TIMEANDDATE;
სიყვარული;მე მიყვარს;შენ გიყვარს;მას უყვარს;ჩვენ გვიყვარს;თქვენ გიყვართ;მათ უყვართ;ЛЮБОВЬ;ЛЮБИТЬ;Я ЛЮБЛЮ;ТЫ ЛЮБИШЬ;ОН ЛЮБИТ;МЫ ЛЮБИМ;ВЫ ЛЮБИТЕ;ОНИ ЛЮБЯТ;BODYFEELINGS;
წასმა;მე ვისვამ;შენ ისვამ;ის ისვამს;ჩვენ ვისვამთ;თქვენ ისვამთ;ისინი ისვამენ;МАЗАНИЕ;МАЗАТЬСЯ;Я МАЖУСЬ;ТЫ МАЖЕШЬСЯ;ОН МАЖЕТСЯ;МЫ МАЖЕМСЯ;ВЫ МАЖЕТЕСЬ;ОНИ МАЖУТСЯ;CLEAN;
ოცნება;მე ვოცნებობ;შენ ოცნებობ;ის ოცნებობს;ჩვენ ვოცნებობთ;თქვენ ოცნებობთ;ისინი ოცნებობენ;МЕЧТА;МЕЧТАТЬ;Я МЕЧТАЮ;ТЫ МЕЧТАЕШЬ;ОН МЕЧТАЕТ;МЫ МЕЧТАЕМ;ВЫ МЕЧТАЕТЕ;ОНИ МЕЧТАЮТ;BODYFEELINGS;
სიხარული;მე მიხარია;შენ გიხარია;მას უხარია;ჩვენ გვიხარია;თქვენ გიხარიათ;მათ უხარიათ;СПОСОБНОСТЬ;МОЧЬ;Я МОГУ;ТЫ МОЖЕШЬ;ОН МОЖЕТ;МЫ МОЖЕМ;ВЫ МОЖЕТЕ;ОНИ МОГУТ;MISC;
დაბანა;მე ვიბან;შენ იბან;ის იბანს;ჩვენ ვიბანთ;თქვენ იბანთ;ისინი იბანენ;МЫТЬЁ;МЫТЬСЯ;Я МОЮСЬ;ТЫ МОЕШЬСЯ;ОН МОЕТСЯ;МЫ МОЕМСЯ;ВЫ МОЕТЕСЬ;ОНИ МОЮТСЯ;CLEAN;
დაწყება;მე ვიწყებ;შენ იწყებ;ის იწყებს;ჩვენ ვიწყებთ;თქვენ იწყებთ;ისინი იწყებენ;НАЧИНАНИЕ;НАЧИНАТЬ;Я НАЧИНАЮ;ТЫ НАЧИНАЕШЬ;ОН НАЧИНАЕТ;МЫ НАЧИНАЕМ;ВЫ НАЧИНАЕТЕ;ОНИ НАЧИНАЮТ;MISC;
სადილიბა;მე ვსადილობ;შენ სადილობ;ის სადილობს;ჩვენ ვსადილობთ;თქვენ სადილობთ;ისინი სადილობენ;ОБЕД;ОБЕДАТЬ;Я ОБЕДАЮ;ТЫ ОБЕДАЕШЬ;ОН ОБЕДАЕТ;МЫ ОБЕДАЕМ;ВЫ ОБЕДАЕТЕ;ОНИ ОБЕДАЮТ;MEAL;
ჩაცმა;მე ვიცვამ;შენ იცვამ;ის იცვამს;ჩვენ ვიცვამთ;თქვენ იცვამთ;ისინი იცვამენ;ОДЕВАНИЕ;ОДЕВАТЬСЯ;Я ОДЕВАЮСЬ;ТЫ ОДЕВАЕШЬСЯ;ОН ОДЕВАЕТСЯ;МЫ ОДЕВАЕМСЯ;ВЫ ОДЕВАЕТЕСЬ;ОНИ ОДЕВАЮТСЯ;CLEAN;
დასრულება;მე ვასრულებ;შენ ასრულებ;ის ასრულებს;ჩვენ ვასრულებთ;თქვენ ასრულებთ;ისინი ასრულებენ;ОКОНЧАНИЕ;ОКАНЧИВАТЬ;Я ОКАНЧИВАЮ;ТЫ ОКАНЧИВАЕШЬ;ОН ОКАНЧИВАЕТ;МЫ ОКАНЧИВАЕМ;ВЫ ОКАНЧИВАЕТЕ;ОНИ ОКАНЧИВАЮТ;MISC;
დასვენება;მე ვისვენებ;შენ ისვენებ;ის ისვენებს;ჩვენ ვისვენებთ;თქვენ ისვენებთ;ისინი ისვენებენ;ОТДЫХ;ОТДЫХАТЬ;Я ОТДЫХАЮ;ТЫ ОТДЫХАЕШЬ;ОН ОТДЫХАЕТ;МЫ ОТДЫХАЕМ;ВЫ ОТДЫХАЕТЕ;ОНИ ОТДЫХАЮТ;PLACEDIRECTION;
გახსნა;მე ვხსნი;შენ ხსნი;ის ხსნის;ჩვენ ვხსნით;თქვენ ხსნით;ისინი ხსნიან;ОТКРЫВАНИЕ;ОТКРЫВАТЬ;Я ОТКРЫВАЮ;ТЫ ОТКРЫВАЕШЬ;ОН ОТКРЫВАЕТ;МЫ ОТКРЫВАЕМ;ВЫ ОТКРЫВАЕТЕ;ОНИ ОТКРЫВАЮТ;MISC;
გაღება;მე ვაღებ;შენ აღებ;ის აღებს;ჩვენ ვაღებთ;თქვენ აღებთ;ისინი აღებენ;ОТПИРАНИЕ;ОТПИРАТЬ;Я ОТПИРАЮ;ТЫ ОТПИРАЕШЬ;ОН ОТПИРАЕТ;МЫ ОТПИРАЕМ;ВЫ ОТПИРАЕТЕ;ОНИ ОТПИРАЮТ;MISC;
